,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
131,0.12,0.0,0,0.862,0.663,0.0,0,0.318,-9.004,1,0.21,85.308,4,0.837,0
132,0.176,0.0,9,0.895,0.694,0.0,9,0.292,-4.384,1,0.275,93.944,4,0.632,0
133,0.0327,0.0,8,0.762,0.838,0.0,8,0.0624,-3.701,1,0.0972,92.482,4,0.73,0
134,0.149,0.0,9,0.833,0.613,0.0,9,0.0683,-8.238,1,0.263,94.716,4,0.799,0
135,0.276,0.0,10,0.869,0.649,0.0,10,0.209,-7.954,0,0.275,92.296,4,0.66,0
136,0.109,7.91e-06,7,0.714,0.55,7.91e-06,7,0.236,-7.498,0,0.302,80.085,4,0.315,0
137,0.0816,0.0,0,0.939,0.72,0.0,0,0.147,-5.565,1,0.216,96.918,4,0.786,0
138,0.161,1.76e-06,1,0.77,0.629,1.76e-06,1,0.348,-10.583,0,0.205,95.241,4,0.57,0
139,0.0231,0.00388,10,0.743,0.652,0.00388,10,0.0851,-6.269,0,0.0342,92.876,4,0.544,0
140,0.0363,0.0,7,0.836,0.687,0.0,7,0.201,-4.258,1,0.337,87.796,4,0.814,0
141,0.152,3.51e-06,10,0.828,0.799,3.51e-06,10,0.634,-7.57,0,0.283,90.153,4,0.772,0
142,0.249,0.000738,6,0.84,0.661,0.000738,6,0.247,-8.784,1,0.0574,103.049,4,0.762,0
143,0.00488,1.43e-05,4,0.807,0.717,1.43e-05,4,0.186,-3.775,0,0.0332,90.02,4,0.371,0
144,0.0151,0.0,7,0.706,0.583,0.0,7,0.235,-6.53,1,0.0723,91.751,4,0.228,0
145,0.0509,0.0,11,0.838,0.452,0.0,11,0.0666,-15.219,0,0.0547,99.075,4,0.708,0
146,0.0913,0.0,1,0.704,0.896,0.0,1,0.112,-3.066,1,0.335,90.141,4,0.661,0
147,0.0323,2.59e-05,0,0.731,0.794,2.59e-05,0,0.112,-5.126,0,0.0522,139.994,4,0.356,0
148,0.00572,0.0,8,0.74,0.657,0.0,8,0.211,-6.309,1,0.0595,112.016,3,0.179,0
149,0.0805,9.97e-05,11,0.667,0.709,9.97e-05,11,0.111,-4.941,0,0.288,171.925,4,0.526,0
150,0.00179,0.0,2,0.652,0.855,0.0,2,0.0404,-4.832,1,0.0441,134.009,4,0.279,0
151,0.0793,3.04e-06,5,0.795,0.611,3.04e-06,5,0.0853,-5.224,0,0.0711,110.016,4,0.404,0
152,0.415,0.0,6,0.776,0.809,0.0,6,0.179,-5.726,0,0.069,100.071,4,0.582,0
153,0.101,0.00029,4,0.706,0.913,0.00029,4,0.123,-3.892,1,0.0394,125.952,4,0.674,0
